victim	culprit(s)	description	notes
Akashi	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Byakuya Ishigami		Died of old age	
Connie Lee		Passed away after contracting pneumonia	
Darya Nikitina		Lost at sea	
Gozan	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Head of the Petrification Kingdom	Ibara	Petrified by Ibara and eroded over the years	
Kyoichiro	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Lillian Weinberg		Passed away after contracting pneumonia	
Morito	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Ren	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
Shamil Volkov		Passed away after contracting pneumonia	
Yakov Nikitin		Lost at sea	
Yuki	Hyoga Akatsuki	Kicked into a cloud of toxic fumes by Hyoga Akatsuki	
