character	killed by	caused by	death	type
Crawling Inquisitor	Sinners	Dante	Slain by the Sinners, led by Dante	
Don Quixote	Kromer		Melted by Kromer (undone by Dante)	undone
Don Quixote	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Effie	Kromer | Outis	Dante	Impaled and grafted with prosthetics by Kromer, put down out of mercy by Outis on orders from Dante	
Everything There of an Inquisitor	Sinners	Dante	Slain by the Sinners, led by Dante	
Faust	Kromer		Melted by Kromer (undone by Dante)	undone
Faust	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Four-Legged Beast	Sinners	Dante	Slain by the Sinners, led by Dante	
Gregor	Kromer		Melted by Kromer (undone by Dante)	undone
Gregor	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Guido	Saude		Shot in the head by Saude	
Heathcliff	Kromer		Melted by Kromer (undone by Dante)	undone
Heathcliff	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Hong Lu	Kromer		Melted by Kromer (undone by Dante)	undone
Hong Lu	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Ishmael	Kromer		Melted by Kromer (undone by Dante)	undone
Ishmael	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Kromer	Demian		Cleaved in half by Demian	
Meursault	Kromer		Melted by Kromer (undone by Dante)	undone
Meursault	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Outis	Kromer		Melted by Kromer (undone by Dante)	undone
Outis	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Proceeding Inquisitor	Sinners	Dante	Slain by the Sinners, led by Dante	
Rodion	Kromer		Melted by Kromer (undone by Dante)	undone
Rodion	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Ryōshū	Kromer		Melted by Kromer (undone by Dante)	undone
Ryōshū	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Sinclair	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Sinclair's father	Kromer | Guido		Hammered with nails by Kromer and Guido	
Sinclair's mother	Kromer | Guido		Hammered with nails by Kromer and Guido	
Sinclair's older sister	Kromer | Guido		Hammered with nails by Kromer and Guido	
Slithering Inquisitor	Sinners	Dante	Slain by the Sinners, led by Dante	
Wriggling Beast	Sinners	Dante	Slain by the Sinners, led by Dante	
Yi Sang	Kromer		Melted by Kromer (undone by Dante)	undone
Yi Sang	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
