victim	culprit(s)	description	notes
Abyssal Guardian	Miriam	Slain by Miriam
Alfred	Dominique Baldwin	Fatally wounded by Dominique Baldwin
Andrealphus	Miriam	Slain by Miriam
Bael	Miriam	Slain by Miriam
Bathin	Miriam	Slain by Miriam
Bloodless	Miriam	Slain by Miriam
Breeder	Miriam	Slain by Miriam
Craftwork	Miriam	Slain by Miriam
Dominique Baldwin	Miriam	Slain by Miriam
Doppelganger	Miriam	Slain by Miriam
Eight Bit Overlord	Miriam	Slain by Miriam
Gebel	Miriam	Slain by Miriam	dependent
Gebel		Succumbed to the Crystal Curse
Glutton Train	Miriam & Zangetsu	Slain by Miriam and Zangetsu
Gremory	Miriam	Slain by Miriam
Guardian	Miriam	Slain by Miriam
Master Carpenter	Miriam	Slain by Miriam
Millionaire's Bane	Miriam	Slain by Miriam
Orobas	Miriam	Slain by Miriam
Revenant	Miriam	Slain by Miriam
Valac	Miriam	Slain by Miriam
Valefar	Miriam	Slain by Miriam
Vepar	Miriam	Slain by Miriam
