Victim,Killer,Cause
1 Hero,Eyeless Nomu,Crushed by a car
1 Person,Himiko Toga,Stabbed to death
1 Shie Hassaikai Human Shield,Tomura Shigaraki,Turned to dust
1 Shie Hassaikai Member,Kai Chisaki,Disintegrated
1 Tartarus Inmate,Chizome Akaguro,Throat sliced
11+ Meta Liberation Army Soldiers,Himiko Toga,Fell to death
17 Pro Heroes,Chizome Akaguro,Sliced to death
2 Members of Water Hose,Goto Imasuji,Unknown
2 Meta Liberation Army Soldiers,Tomura Shigaraki,Turned to dust
2 Street Thugs,Tomura Shigaraki,Turned to dust
3 People,Kenji Hikiishi,Unknown
5 Meta Liberation Army Soldiers,Chitose Kizuki,Exploded
6 Criminals,Toya Todoroki,Burned to death
70+ Meta Liberation Army Soldiers,Tomura Shigaraki,Turned to dust
Akira Iwako,Chizome Akaguro,Sliced to death
Briareos,All for One,Unknown
Cathleen Bate,Tomura Shigaraki & All for One,Turned to dust
Chikara Yotsubashi,Chikara Yotsubashi,Unknown
Chitose Kizuki,Himiko Toga,Fell to death
Chizuo,Tomura Shigaraki,Turned to dust
Chubs,Tomura Shigaraki,Turned to dust
Creature Rejection Clan,Tomura Shigaraki & Atsuhiro Sako & Shuichi Iguchi & Jin Bubaigawara & Himiko Toga,Various
Crust,Tomura Shigaraki,Turned to dust
Daigoro Banjo,All for One,Unknown
Eel Boy,Jin Bubaigawara,Stabbed in the head
Eleph,Tomura Shigaraki,Turned to dust
En,All for One,Unknown
Enma Kannagi,Gigantomachia,Crushed to death
Eri's Father,Eri,Erased
Eyeless Nomu,Enji Todoroki,Burned to death
Funkman,Unknown Causes,Unknown
Gyges,All for One,Unknown
Hana Shimura,Tomura Shigaraki,Turned to dust
Haruhisa,Chizome Akaguro,Sliced to death
Hikage Shinomori,Natural Causes,Old age
Hokuto Hario,Number Six,Exploded
Hood,Enji Todoroki,Burned to death
Jin Bubaigawara,Keigo Takami,Stabbed to death
Johnny,Rumi Usagiyama,Crushed by a falling door
Kenji Hikiishi,Kai Chisaki,Torso exploded
Kotaro Shimura,Tomura Shigaraki,Turned to dust
Kuin Hachisuka,Iwao Oguro,Caught in an explosion
Mako,Tomura Shigaraki,Turned to dust
Mirai Sasaki,Kai Chisaki,Abdomen fatally pierced then bled out
Miyashita,Rikiya Yotsubashi,Neck snapped
Mocha,Rumi Usagiyama,Kicked to death
Mon,Tomura Shigaraki,Turned to dust
Nana Shimura,All for One,Unknown
Nao Shimura,Tomura Shigaraki,Turned to dust
Native,Nomu,Bitten to death
Nemuri Kayama,Paranormal Liberation Front Soldier,Unknown
Nine,Tomura Shigaraki,Turned to dust
Oboro Shirakumo,Garvey,Crushed by falling debris
Previous President of the Hero Public Safety Commission,Kaina Tsutsumi,Shot to death
Ribby,Tomura Shigaraki,Turned to dust
Robot,Rumi Usagiyama,Head crushed
Rojiya Yonenaga,Chizome Akaguro,Sliced to death
Sajin Higawara,Toya Todoroki & Atsuhiro Sako,Burned to death
Soji,Chizome Akaguro,Sliced to death
Tetsu,Chizome Akaguro,Sliced to death
The Mother of Quirks,Anti-Quirk Faction,Unknown
Winged Nomu,Chizome Akaguro,Stabbed in the brain
Woman,Enji Todoroki,Burned to death
X-Less,Tomura Shigaraki,Turned to dust
Yoichi Shigaraki,All for One,Unknown
