Victim,Killer,Cause
1 Executed Zombie killed by Jonathan Joestar,Jonathan Joestar,Head sliced open
1 Vagrant killed by Dio Brando,Dio Brando,Stabbed to death
1 Vagrant killed by the Sun,Sun,Vaporized
1 Zombie Knight killed by Jonathan Joestar,Jonathan Joestar,Beheaded
1 Zombie Knight killed by Robert E. O. Speedwagon,Robert E. O. Speedwagon,Head crushed with a sledgehammer
2 Drug Dealers killed by Bruno Bucciarati,Bruno Bucciarati,Stabbed to death
2 Executed Zombies killed by Dio Brando,Dio Brando,Various
2 Friends of Chaka's Father killed by Chaka,Chaka,Stabbed to death
2 Natural Resources Workers,Natural Causes,Disease
2 Speedwagon Foundation Pilots killed by N'Doul,N'Doul,Head torn off
2 SPW Excavators killed by Straizo,Straizo,Unknown
2 Straizo's Disciples killed by Straizo,Straizo,Unknown
2 Toko's Bullies killed by Tarkus,Tarkus,Crushed to death
24 Stroheim's Prisoners killed by Rudol von Stroheim,Rudol von Stroheim,Unknown
4 Drunkards killed by Cioccolata,Cioccolata,Consumed by mold
4 Santana's Nazi Victims,Santana,Shot to death
4 Zombie Knights killed by Will Anthonio Zeppeli,Will Anthonio Zeppeli,Vaporized
7 members of Captain Tennille's Crew killed by Forever,Forever,Various
9 Wamuu's Nazi Victims,Wamuu,Life force drained
Abbacchio's Partner,Blackmailing Criminal,Shot to death
Adams,Jonathan Joestar,Tongue ripped out and head crushed
Arnold,Yoshikage Kira,Throat slit
Aya Tsuji,Yoshikage Kira,Exploded
Aztec Tribe Mate,Aztec Chief,Blood drained
Bornnam,Straizo,Vaporized
Bruford,Executioner,Beheaded
Bruford,Jonathan Joestar,Vaporized
Bruno Bucciarati,Diavolo,Punched through the abdomen
Buchi,Pet Shop,Beheaded
Bug-Eaten,Josuke Higashikata,Shot to death
Bulldog,Anjuro Katagiri,Nose bitten off
Caesar Anthonio Zeppeli,Wamuu,Crushed under a rock
Cairo Pedestrians,Wilson Phillips,Ran over by a car
Captain Tennille,Impostor Captain Tennille,Unknown
Caravan Serai,Unknown,Unknown
Carne,Guido Mista,Shot to death
Carriage Driver,Unknown,Impaled on a wooden debris
Chaka's Father,Chaka,Sliced to death
Cheap Trick,Malicious spirits of Ghost Girl's Alley,Dragged into hell
Chibi,Pet Shop,Beheaded
Chimera Zombie,Dio Brando,Stomped to death
Cioccolata,Giorno Giovanna,Every bone shattered
Danny,Dio Brando,Burned to death
Dario Brando,Dio Brando,Poisoned
Darnley,Unknown,Caught in an explosion
Devo the Cursed,Jean Pierre Polnareff,Stabbed multiple times until death
Diavolo,Giorno Giovanna,Various
Diavolo's Foster Father,Diavolo,Burned to death
Dio Brando,Jotaro Kujo,Punched to death
Dio Brando's Mother,Dario Brando,Unknown
Dire,Dio Brando,Frozen and shattered to pieces
Dog Owner,Anjuro Katagiri,Internal bleeding
Donatella Una,Natural Causes,Disease
Doobie,Jonathan Joestar,Vaporized
Elizabeth's Mother,Unnamed zombie,Struck with an axe
Enya the Hag,Steely Dan,Internal wounds
Erina Pendleton,Natural Causes,Died of old age
Esidisi,Caesar Anthonio Zeppeli,Vaporized
Executioner,Bruford,Flesh torn away
Father Styx,Dio Brando,Shot in the head
Formaggio,Narancia Ghirga,Shot to death
Gelato,Gelato,Suffocated to death
George Joestar I,Dio Brando,Stabbed to death
George Joestar II,Superior Officer Zombie,Unknown
Ghiaccio,Giorno Giovanna,Impaled through the neck
Gray Fly,Noriaki Kakyoin,Fatally wounded via Stand destruction
Iggy,Vanilla Ice,Fatal internal wounds
Illuso,Pannacotta Fugo,Roted from the inside
Jack the Ripper,Jonathan Joestar,Vaporized
Jack the Ripper's Date,Jack the Ripper,Neck sliced
Jean Pierre Polnareff,Diavolo,Punched through the abdomen
Jonathan Joestar,Dio Brando,Shot in the throat then bled out
Jones,Straizo,Vaporized
J. Geil,Jean Pierre Polnareff,Stabbed to death
Kars's Double,Lisa Lisa,Vaporized
Kazuko Sugimoto,Yoshikage Kira,Unknown
Keicho Nijimura,Akira Otoishi,Electrocuted to death
Kosaku Kawajiri,Yoshikage Kira,Unknown
Leone Abbacchio,Diavolo,Punched through the abdomen
Loggins,Esidisi,Impaled
Luca,Passione,Unknown
Maiden,Aztec Chief,Stabbed in the heart
Manga Artist,Unknown,Impaled through the neck
Marble Store Clerk,Dio Brando,Blood drained
Mario Zeppeli,Pillar Men,Eaten alive
Mark,Caesar Anthonio Zeppeli,Heart stopped
Mary Joestar,Unknown,Carriage accident
Mary Stuart,Executioner,Beheaded
Masazo Kinoto,Cheap Trick,Back ripped open
Mela Ghirga,Natural Causes,Eye infection
Melone,Giorno Giovanna,Bitten by a venomous snake
Minako Okura,Yoshikage Kira,Exploded
Mother of Baby,Dio Brando,Blood drained
Muhammad Avdol,Vanilla Ice,Disintegrated
Mukade Shopkeeper,Yoshikage Kira,Caught in an explosion
Mummy,Unknown,Unknown
Narancia Ghirga,Diavolo,Impaled on an iron gate
Nazi Officer,Wamuu,Life force drained
Nena,Joseph Joestar,Fatally wounded via Stand destruction
Nijimura's mother,Natural Causes,Disease
Noriaki Kakyoin,Dio Brando,Punched through the abdomen
Not Bug-Eaten,Josuke Higashikata,Shot to death
N'Doul,N'Doul,Head pierced
Old Janitor,Polpo,Stabbed in the head
Page,Straizo,Vaporized
Paolo Bucciarati,2 Drug Dealers killed by Bruno Bucciarati,Complications following bullet wounds
Pericolo,Pericolo,Shot in the head
Pesci,Bruno Bucciarati,Ripped into pieces
Pet Shop,Iggy,Head exploded
Pillar Men Clan,Kars,Various
Plant,Straizo,Vaporized
Pocky,Rubber Soul,Beheaded
Police Zombie,Jonathan Joestar,Head poked with a spear
Polpo,Giorno Giovanna,Shot in the head
Prosciutto,Bruno Bucciarati,Ran over by a train then bled out
Reimi Sugimoto,Yoshikage Kira,Stabbed in the back
Rio's Neighbor,Yoshikage Kira,Exploded
Ripple Clan,Pillar Men,Various
Risotto Nero,Narancia Ghirga,Shot to death
Robber's Girlfriend,Anjuro Katagiri,Unknown
Robert E. O. Speedwagon,Natural Causes,Heart attack
Rudol von Stroheim,Unknown,Unknown
Ryohei Higashikata,Anjuro Katagiri,Internal bleeding
Santana's Body Host,Santana,Ripped apart from the inside
Sardinian Fortune Teller,Diavolo,Punched through the abdomen
Satoru Nakae,Yoshikage Kira,Exploded
