character	killer	responsible party	description	type
Isshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Misshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Nisshiki Madarai	Junko Enoshima		Neck snapped by Junko Enoshima	
Rosshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Sasshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Shisshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Sōshun Murasame	Yasuke Matsuda		Strangled by Yasuke Matsuda	
Yasshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Yasuke Matsuda	Junko Enoshima		Stabbed by Junko Enoshima	
Yosshiki Madarai	Mukuro Ikusaba		Murdered by Mukuro Ikusaba	
Yuto Kamishiro	Yasuke Matsuda		Neck broken by Yasuke Matsuda	
