character	killed by	caused by	death	type
Akane Kurashiki	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Akane Kurashiki	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Akane Kurashiki	Dio	Brother | Akane Kurashiki | Zero III	Stabbed in the heart by Dio on orders from Brother, orchestrated by herself and Zero III (Magenta Door Routes and Yellow Door Routes)	non-canon
Alice	Alice	Zero Senior | Akane Kurashiki	Committed suicide with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Clover Ending)	non-canon
Alice	Alice	Zero Senior | Akane Kurashiki	Stabbed herself with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Dio Route)	non-canon
Alice	Alice	Zero Senior | Akane Kurashiki	Stabbed herself with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (K Route)	non-canon
Alice	Alice	Zero Senior | Akane Kurashiki	Stabbed herself with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Luna Route)	non-canon
Alice	Alice	Zero Senior | Akane Kurashiki	Stabbed herself with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Quark Ending)	non-canon
Alice	Alice	Zero Senior | Akane Kurashiki	Stabbed herself with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Tenmyouji Route)	non-canon
Alice	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Alice	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Alice's father			Beaten to death by members of Free the Soul	
Clover Field		Dio | Zero Senior | Akane Kurashiki | Zero III	Injected with tubocurarine by her bracelet after receiving a penalty due to being handcuffed to a sink by Dio, during the Nonary Game overseen by Zero Senior, Akane Kurashiki and Zero III (Luna Route)	non-canon
Clover Field	Clover Field	Zero Senior | Akane Kurashiki	Committed suicide with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Clover Ending)	non-canon
Clover Field	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Alice Ending)	non-canon
Clover Field	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Diana			Died of a circulatory illness (VLR Timeline only)	variable
Dio	Dio		Committed suicide by swallowing a cyanide pill (Alice Ending)	non-canon
Dio	Dio	Brother	Blown up along with the facility by an antimatter bomb set up by Dio on orders from Brother (Sigma Ending)	non-canon
Dio	Dio	Zero Senior | Akane Kurashiki	Committed suicide with a scalpel due to being infected with Radical-6 by Zero Senior and Akane Kurashiki (Clover Ending)	non-canon
Dio	K		Asphyxiated when K locked him in a treatment pod and turned off the oxygen supply (K Ending)	non-canon
Dio	K		Impaled through the chest with a spear by K (Luna Route)	non-canon
