character	killed by	induced by	death	type
Aperture	Sebastian Castellanos		Destroyed by Sebastian Castellanos	
Effigy	Sebastian Castellanos		Destroyed by Sebastian Castellanos	
Emily Lewis	Stefano Valentini		Decapitated by Stefano Valentini	
Esmeralda Torres	Sebastian Castellanos	Theodore Wallace	Fatally wounded when shot by Sebastian Castellanos via manipulation by Theodore Wallace	
Guardian	Sebastian Castellanos		Destroyed by Sebastian Castellanos (dependent on player choice)	determinant
Johnathan Stevens	Ted Sisson		Executed by Ted Sisson	
Julian Sykes			Struck with an axe by the Lost (dependent on player choice)	determinant
Keating			Caught and killed by the Lost	
Laura (Creature)	Sebastian Castellanos		Incinerated by Sebastian Castellanos	
Liam O'Neal	Sebastian Castellanos	Theodore Wallace	Slain by Sebastian Castellanos after being brainwashed into fighting him by Theodore Wallace	
Matriarch	Sebastian Castellanos		Destroyed by Sebastian Castellanos	
McCoy			Caught and killed by the Lost	
Miles Harrison			Fatally injured by the Lost	
Obscura	Sebastian Castellanos		Destroyed by Sebastian Castellanos (dependent on player choice)	determinant
Sadist	Sebastian Castellanos		Bisected with his own chainsaw by Sebastian Castellanos	
Stefano Valentini	Sebastian Castellanos		Shot in the head by Sebastian Castellanos	
Ted Sisson			Caught and killed by the Lost	
The Administrator	Myra Castellanos		Bled out after his chip was destroyed by Myra Castellanos	
The Keeper	Sebastian Castellanos		Destroyed by Sebastian Castellanos	
The Watcher	Sebastian Castellanos		Destroyed by Sebastian Castellanos (dependent on player choice)	determinant
Theodore Wallace	Myra Castellanos		Stabbed in the head by Myra Castellanos	
William Baker	Stefano Valentini		Shot or stabbed in the head by Stefano Valentini	
Yukiko Hoffman	Theodore Wallace		Incinerated by Theodore Wallace	
