character	killed by	induced by	death	type
Air	Air	Suka	Committed suicide by drinking poison due to having been tortured by Suka	
Apeman			Died from unknown causes (corpse reanimated by Kurome)	undead
Apeman	Tatsumi		Destroyed by Tatsumi	
Aria	Tatsumi		Slashed by Tatsumi	
Aria's Father	Leone		Neck broken by Leone	
Aria's Mother	Sheele		Bisected by Sheele	
Bach	Akame		Cut down by Akame	
Bolic	Akame		Slashed by Akame	
Bols	Chelsea		Stabbed in the spinal column by Chelsea	
Budo	Mine		Blasted by Mine	
Bulat	Liver		Poisoned by Liver	
Champ	Champ | Run		Incinerated by his own Flame Orb reflected by Run	
Chelsea	Natala		Decapitated by Natala	
Chouri	Liver		Beheaded by Liver	
Cosmina	Tatsumi		Bifurcated by Tatsumi	
Daidara	Bulat		Cut in half by Bulat	
Dark Squad Supervisor	Esdeath		Decapitated via kicking by Esdeath	
Death Tagool			Died from unknown causes (corpse reanimated by Kurome)	undead
Death Tagool	Susanoo		Destroyed by Susanoo	
Dorothea	Leone		Crushed with a boulder by Leone	
Dousen	Leone		Beaten to death by Leone	
Doya	Akame		Cut down by Akame	
Doya	Kurome		Murdered by Kurome (corpse reanimated by Kurome)	undead
Dr. Stylish	Akame		Poisoned after having been slashed with Murasame by Akame	
Enshin	Akame		Slashed by Akame	
Esdeath	Akame		Stabbed by Akame	
Esdeath	Esdeath		Froze and vaporized herself (anime only)	non-canon
Esdeath's Father			Murdered by the Northern Tribes	
Fal	Suka		Fatally wounded after having been tortured by Suka	
First Emperor			Died from unknown causes	
Gamal	Akame | Leone		Murdered by Akame and Leone	
Gaurry	Akame		Throat slit by Akame	
Gebaze	Chelsea		Neck stabbed by Chelsea	
General Nouken	Akame		Neck slashed by Akame	
Gensei	Bulat		Murdered by Bulat	
Hana	Stylish		Devoured by Stylish	
Hekatonkheires	Seryu Ubiquitous		Caught in the explosion triggered by Seryu Ubiquitous	
Henter	Kurome		Murdered by Kurome (corpse reanimated by Kurome)	undead
Henter	Tatsumi | Chelsea		Sliced in half by Tatsumi after having his skull punctured by Chelsea	
