Killer,Kills
Kenzou,34
Natural Causes,26
Rudol von Stroheim,24
Enrico Pucci,15
Dio Brando,15
Yoshikage Kira,12
Wamuu,11
Jonathan Joestar,9
Straizo,9
Forever,7
Mountain Lodger,6
Santana,6
Diavolo,6
Foo Fighters,6
Bruno Bucciarati,5
Giorno Giovanna,5
Cioccolata,5
Will Anthonio Zeppeli,4
Accidental Causes,4
Narciso Anasui,4
Narancia Ghirga,4
Anjuro Katagiri,4
Unknown Causes,4
N'Doul,3
Jean Pierre Polnareff,3
Pet Shop,3
Potato-Eating Killer,3
Tarkus,3
Lisa Lisa,3
Executioner,3
Chaka,3
Vanilla Ice,2
Josuke Higashikata,2
Ermes Costello,2
Sun,2
Aztec Chief,2
Caesar Anthonio Zeppeli,2
Sports Maxx,2
Joseph Joestar,2
Guido Mista,2
Weather Report,2
Pillar Men,2
Steely Dan,1
Scolippi's Girlfriend,1
Shinobu Kawajiri,1
Soviet Soldiers,1
Rubber Soul,1
Iggy,1
Superior Officer Zombie,1
Bruford,1
Ringo Roadagain,1
Blackmailing Criminal,1
Unnamed soldiers,1
Unnamed zombie,1
Ambulance driver,1
Akira Otoishi,1
Wilson Phillips,1
Robert E. O. Speedwagon,1
Dario Brando,1
Cheap Trick,1
Mother of Baby,1
J. Geil,1
Jack the Ripper,1
Gwess,1
Johngalli A.,1
Jotaro Kujo,1
Kars,1
Guccio,1
Gelato,1
Malicious spirits of Ghost Girl's Alley,1
Esidisi,1
Polpo,1
Emporio Alnino,1
Devo the Cursed,1
Nena,1
Noriaki Kakyoin,1
Pannacotta Fugo,1
Passione,1
Pericolo,1
Perla Pucci,1
Impostor Captain Tennille,1
2 Drug Dealers,1
