Killer,Kills
Spider Demon (Sister),80
Akaza,71
Hand Demon,63
Serpent Demon,50
Muzan Kibutsuji,19
Gyutaro,17
Natural Causes,12
Tanjiro Kamado,8
Daki,8
1 Demon who killed the Orphans,7
Rui,7
Shizu Shinazugawa,5
5 Wives of Muzan,5
Doma,5
Kokushibo,4
Kagaya Ubuyashiki,4
Zenitsu Agatsuma,4
Kyojuro Rengoku,4
Gyomei Himejima,3
Sun,3
Tamayo,3
Accidental Causes,3
Sanemi Shinazugawa,2
Tengen Uzui,2
Muichiro Tokito,2
1 Demon who killed Shinobu's Parents,2
Kenjutsu Dojo's Head,2
Inosuke Hashibira,2
Doma's Mother,2
Giyu Tomioka,2
Kyogo Shinazugawa's Rival,1
Gyokko,1
Yoriichi Tsugikuni,1
Ubume,1
1 Demon who killed Uta,1
1 Demon who killed Yuichiro,1
Swamp Demon,1
Spider Demon (Mother),1
1 Demon who killed Tsutako,1
Hantengu,1
Shinobu Kocho,1
Shinjuro Rengoku,1
Jigoro Kuwajima,1
Kanao Tsuyuri,1
Nakime,1
Kyogai,1
