character	killed by	death	type
Argent Wolf Berserker	Successor of the Blood | Companions (Howling Pit)	Slain by the Successor of the Blood, assisted by their Companions	
Attendant of the Relics	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Blade Bearer	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions	
Butterfly of Delirium	Successor of the Blood | Companions (Home Base)	Slain by the Successor of the Blood, assisted by their Companions	
Cannoneer	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions	
Carmilla		Murdered by the Lost	
Cruz Silva	Successor of the Blood	Stabbed through the heart by the Successor of the Blood	
Emily Su		Perished during the Great Calamity (returned as a Revenant)	revived
Ephemeral Wanderer	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions	
Frozen Empress	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Gilded Hunter	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions	
Gregorio Silva		Perished during Operation Queenslayer (returned as a Revenant)	revived
Hellfire Knight	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Insatiable Despot	Successor of the Blood | Companions (Home Base)	Slain by the Successor of the Blood, assisted by their Companions	
Invading Executioner	Successor of the Blood | Companions (Home Base)	Slain by the Successor of the Blood, assisted by their Companions	
Io	Louis Amamiya	Turned to ash after the Successor of the Blood's death at the hands of Louis Amamiya (dependent on player choice)	determinant
Juzo Mido	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Karen Amamiya	Cruz Silva	Murdered when Cruz Silva went into frenzy (returned as a Revenant)	revived
Kevin		Murdered by the Lost	
Lord of Thunder	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Louis Amamiya	Cruz Silva	Murdered when Cruz Silva went into frenzy (returned as a Revenant)	revived
Mia Karnstein		Perished during the Great Calamity (returned as a Revenant)	revived
Nameless Successor	Jack Rutherford	Beheaded by Jack Rutherford	
Naomi		Murdered by the Lost	
Nicola Karnstein		Perished during the Great Calamity (returned as a Revenant)	revived
Oliver Collins	Successor of the Blood | Louis Amamiya	Put down as he went into frenzy by the Successor of the Blood, assisted by Louis Amamiya	
Prisoner of Eternal Torment	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Prisoner of the Abyss	Successor of the Blood | Companions (Home Base)	Slain by the Successor of the Blood, assisted by their Companions	
Queen's Knight Reborn	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Riki		Murdered by the Horrors (returned as a Revenant)	revived
Riki		Turned to ash after being killed by the Lost	
Skull King	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Slumbering Wanderer	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Sorrowful Wanderer	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Successor of the Blood		Perished during the Great Calamity (returned as a Revenant)	revived
Successor of the Blood	Jack Rutherford	Put down as they went into frenzy by Jack Rutherford (revived)	revived
Successor of the Blood	Louis Amamiya	Stabbed through the heart by Louis Amamiya (dependent on player choice)	determinant
Successor of the Breath	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions (dependent on player choice)	determinant
Successor of the Claw	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions (dependent on player choice)	determinant
Successor of the Ribcage	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions (dependent on player choice)	determinant
Successor of the Throat	Successor of the Blood | Companions (Cathedral of the Sacred Blood)	Slain by the Successor of the Blood, assisted by their Companions (dependent on player choice)	determinant
The Queen's Knight	Successor of the Blood | Jack Rutherford	Slain by the Successor of the Blood, assisted by Jack Rutherford	
The Virgin Born	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Valerio	Jack Rutherford	Put down by Jack Rutherford	
Wistful Wanderer	Successor of the Blood | Companions (Crown of Sand)	Slain by the Successor of the Blood, assisted by their Companions	
Yakumo Shinonome		Murdered by the Horrors (returned as a Revenant)	revived
